date,direction,speed
2008-07-01,184,14.0
2008-07-02,199,9.0
2008-07-03,202,12.0
2008-07-04,193,15.0
2008-07-05,215,13.0
2008-07-06,182,5.0
2008-07-07,171,5.0
2008-07-08,91,6.0
2008-07-09,167,5.0
2008-07-10,128,4.0
2008-07-11,179,3.0
2008-07-12,127,5.0
2008-07-13,100,5.0
2008-07-14,130,6.0
2008-07-15,146,6.0
2008-07-16,135,7.0
2008-07-17,165,6.0
2008-07-18,187,8.0
2008-07-19,222,9.0
2008-07-20,132,4.0
2008-07-21,120,6.0
2008-07-22,144,8.0
2008-07-23,246,10.0
2008-07-24,231,4.0
2008-07-25,241,5.0
2008-07-26,192,5.0
2008-07-27,88,4.0
2008-07-28,31,8.0
2008-07-29,60,15.0
2008-07-30,342,15.0
2008-07-31,287,8.0
2008-08-01,211,7.0
2008-08-02,130,4.0
2008-08-03,107,4.0
2008-08-04,176,3.0
2008-08-05,65,6.0
2008-08-06,83,9.0
2008-08-07,83,8.0
2008-08-08,79,6.0
2008-08-09,106,4.0
2008-08-10,234,6.0
2008-08-11,179,4.0
2008-08-12,206,3.0
2008-08-13,207,7.0
2008-08-14,203,5.0
2008-08-15,53,9.0
2008-08-16,162,10.0
2008-08-17,270,7.0
2008-08-18,211,4.0
2008-08-19,192,8.0
2008-08-20,167,7.0
2008-08-21,221,8.0
2008-08-22,307,6.0
2008-08-23,183,3.0
2008-08-24,105,5.0
2008-08-25,232,4.0
2008-08-26,102,4.0
2008-08-27,138,4.0
2008-08-28,154,7.0
2008-08-29,132,8.0
2008-08-30,268,9.0
2008-08-31,297,7.0
2008-09-01,208,4.0
2008-09-02,113,5.0
2008-09-03,91,8.0
2008-09-04,238,5.0
2008-09-05,285,3.0
2008-09-06,95,4.0
2008-09-07,75,6.0
2008-09-08,68,8.0
2008-09-09,103,6.0
2008-09-10,230,8.0
2008-09-11,333,8.0
2008-09-12,251,7.0
2008-09-13,106,7.0
2008-09-14,17,8.0
2008-09-15,175,8.0
2008-09-16,92,4.0
2008-09-17,134,3.0
2008-09-18,108,4.0
2008-09-19,165,6.0
2008-09-20,52,5.0
2008-09-21,114,6.0
2008-09-22,146,6.0
2008-09-23,19,16.0
2008-09-24,7,14.0
2008-09-25,129,11.0
2008-09-26,28,16.0
2008-09-27,101,10.0
2008-09-28,177,10.0
2008-09-29,257,8.0
2008-09-30,234,5.0
2008-10-01,203,4.0
2008-10-02,128,3.0
2008-10-03,130,5.0
2008-10-04,125,7.0
2008-10-05,260,5.0
2008-10-06,25,10.0
2008-10-07,96,7.0
2008-10-08,195,4.0
2008-10-09,173,4.0
2008-10-10,174,8.0
2008-10-11,52,10.0
2008-10-12,194,6.0
2008-10-13,250,6.0
2008-10-14,194,5.0
2008-10-15,112,7.0
2008-10-16,118,4.0
2008-10-17,93,6.0
2008-10-18,255,6.0
2008-10-19,106,6.0
2008-10-20,97,5.0
2008-10-21,265,7.0
2008-10-22,138,9.0
2008-10-23,225,12.0
2008-10-24,78,8.0
2008-10-25,237,7.0
2008-10-26,257,6.0
2008-10-27,128,3.0
2008-10-28,197,6.0
2008-10-29,180,8.0
2008-10-30,110,5.0
2008-10-31,299,4.0
2008-11-01,156,3.0
2008-11-02,217,5.0
2008-11-03,184,4.0
2008-11-04,102,5.0
2008-11-05,61,4.0
2008-11-06,145,12.0
2008-11-07,259,13.0
2008-11-08,82,9.0
2008-11-09,32,11.0
2008-11-10,45,8.0
2008-11-11,84,5.0
2008-11-12,105,8.0
2008-11-13,47,4.0
2008-11-14,90,5.0
2008-11-15,61,9.0
2008-11-16,16,8.0
2008-11-17,19,12.0
2008-11-18,97,11.0
2008-11-19,187,6.0
2008-11-20,169,5.0
2008-11-21,102,8.0
2008-11-22,171,5.0
2008-11-23,271,7.0
2008-11-24,228,5.0
2008-11-25,71,9.0
2008-11-26,204,8.0
2008-11-27,269,11.0
2008-11-28,231,7.0
2008-11-29,280,6.0
2008-11-30,203,6.0
2008-12-01,225,8.0
2008-12-02,153,9.0
2008-12-03,136,11.0
2008-12-04,15,24.0
2008-12-05,26,10.0
2008-12-06,93,7.0
2008-12-07,206,8.0
2008-12-08,223,17.0
2008-12-09,184,11.0
2008-12-10,173,9.0
2008-12-11,121,8.0
2008-12-12,144,6.0
2008-12-13,10,18.0
2008-12-14,181,6.0
2008-12-15,191,7.0
