date,direction,speed
2008-07-01,105,8.0
2008-07-02,176,11.0
2008-07-03,184,15.0
2008-07-04,206,12.0
2008-07-05,208,6.0
2008-07-06,189,7.0
2008-07-07,153,7.0
2008-07-08,145,12.0
2008-07-09,151,9.0
2008-07-10,165,9.0
2008-07-11,198,10.0
2008-07-12,241,9.0
2008-07-13,192,9.0
2008-07-14,245,9.0
2008-07-15,209,9.0
2008-07-16,143,8.0
2008-07-17,146,8.0
2008-07-18,185,5.0
2008-07-19,161,9.0
2008-07-20,131,6.0
2008-07-21,143,10.0
2008-07-22,180,13.0
2008-07-23,203,10.0
2008-07-24,232,6.0
2008-07-25,49,6.0
2008-07-26,100,5.0
2008-07-27,146,9.0
2008-07-28,246,8.0
2008-07-29,158,9.0
2008-07-30,151,12.0
2008-07-31,82,7.0
2008-08-01,155,9.0
2008-08-02,184,11.0
2008-08-03,195,13.0
2008-08-04,146,7.0
2008-08-05,45,8.0
2008-08-06,160,6.0
2008-08-07,155,7.0
2008-08-08,193,7.0
2008-08-09,167,10.0
2008-08-10,111,9.0
2008-08-11,139,11.0
2008-08-12,148,14.0
2008-08-13,148,10.0
2008-08-14,201,6.0
2008-08-15,254,7.0
2008-08-16,73,12.0
2008-08-17,44,9.0
2008-08-18,139,7.0
2008-08-19,206,14.0
2008-08-20,227,8.0
2008-08-21,48,12.0
2008-08-22,41,13.0
2008-08-23,106,10.0
2008-08-24,129,12.0
2008-08-25,83,13.0
2008-08-26,46,13.0
2008-08-27,151,7.0
2008-08-28,156,9.0
2008-08-29,160,9.0
2008-08-30,123,5.0
2008-08-31,59,8.0
2008-09-01,185,7.0
2008-09-02,134,9.0
2008-09-03,203,8.0
2008-09-04,153,10.0
2008-09-05,44,7.0
2008-09-06,153,8.0
2008-09-07,142,9.0
2008-09-08,286,10.0
2008-09-09,217,12.0
2008-09-10,190,5.0
2008-09-11,86,7.0
2008-09-12,301,14.0
2008-09-13,319,7.0
2008-09-14,189,6.0
2008-09-15,164,7.0
2008-09-16,163,8.0
2008-09-17,171,6.0
2008-09-18,182,11.0
2008-09-19,172,8.0
2008-09-20,114,10.0
2008-09-21,241,7.0
2008-09-22,144,14.0
2008-09-23,262,11.0
2008-09-24,286,13.0
2008-09-25,242,8.0
2008-09-26,256,10.0
2008-09-27,283,16.0
2008-09-28,228,6.0
2008-09-29,224,6.0
2008-09-30,179,8.0
2008-10-01,214,6.0
2008-10-02,222,10.0
2008-10-03,158,11.0
2008-10-04,233,7.0
2008-10-05,155,8.0
2008-10-06,121,11.0
2008-10-07,238,7.0
2008-10-08,114,9.0
2008-10-09,124,8.0
2008-10-10,225,7.0
2008-10-11,273,14.0
2008-10-12,291,9.0
2008-10-13,210,6.0
2008-10-14,211,10.0
2008-10-15,298,11.0
2008-10-16,195,7.0
2008-10-17,173,8.0
2008-10-18,124,6.0
2008-10-19,70,11.0
2008-10-20,35,11.0
2008-10-21,246,6.0
2008-10-22,201,6.0
2008-10-23,126,13.0
2008-10-24,179,20.0
2008-10-25,244,10.0
2008-10-26,237,12.0
2008-10-27,284,8.0
2008-10-28,278,10.0
2008-10-29,284,15.0
2008-10-30,275,7.0
