date,direction,speed
2008-07-01,260,18.0
2008-07-02,266,14.0
2008-07-03,279,12.0
2008-07-04,266,12.0
2008-07-05,262,13.0
2008-07-06,264,14.0
2008-07-07,276,15.0
2008-07-08,286,17.0
2008-07-09,279,16.0
2008-07-10,268,14.0
2008-07-11,261,14.0
2008-07-12,237,11.0
2008-07-13,251,8.0
2008-07-14,278,8.0
2008-07-15,299,7.0
2008-07-16,300,10.0
2008-07-17,291,9.0
2008-07-18,281,8.0
2008-07-19,291,9.0
2008-07-20,255,5.0
2008-07-21,270,8.0
2008-07-22,289,9.0
2008-07-23,286,7.0
2008-07-24,287,11.0
2008-07-25,280,19.0
2008-07-26,284,18.0
2008-07-27,285,20.0
2008-07-28,278,21.0
2008-07-29,266,22.0
2008-07-30,265,19.0
2008-07-31,266,16.0
2008-08-01,264,15.0
2008-08-02,280,11.0
2008-08-03,278,14.0
2008-08-04,293,13.0
2008-08-05,273,16.0
2008-08-06,282,18.0
2008-08-07,288,18.0
2008-08-08,280,20.0
2008-08-09,283,24.0
2008-08-10,274,28.0
2008-08-11,268,25.0
2008-08-12,260,19.0
2008-08-13,270,18.0
2008-08-14,281,18.0
2008-08-15,273,15.0
2008-08-16,264,10.0
2008-08-17,275,9.0
2008-08-18,295,11.0
2008-08-19,293,7.0
2008-08-20,301,7.0
2008-08-21,297,11.0
2008-08-22,300,8.0
2008-08-23,318,10.0
2008-08-24,307,10.0
2008-08-25,296,8.0
2008-08-26,271,8.0
2008-08-27,239,9.0
2008-08-28,219,9.0
2008-08-29,284,11.0
2008-08-30,327,12.0
2008-08-31,280,9.0
2008-09-01,228,6.0
2008-09-02,160,8.0
2008-09-03,150,11.0
2008-09-04,172,8.0
2008-09-05,177,8.0
2008-09-06,213,8.0
2008-09-07,287,7.0
2008-09-08,258,8.0
2008-09-09,265,11.0
2008-09-10,276,15.0
2008-09-11,272,18.0
2008-09-12,258,20.0
2008-09-13,241,20.0
2008-09-14,244,18.0
2008-09-15,243,15.0
2008-09-16,262,18.0
2008-09-17,272,18.0
2008-09-18,264,16.0
2008-09-19,257,11.0
2008-09-20,255,8.0
2008-09-21,237,7.0
2008-09-22,234,5.0
2008-09-23,218,7.0
2008-09-24,237,9.0
2008-09-25,301,7.0
2008-09-26,235,9.0
2008-09-27,190,8.0
2008-09-28,235,5.0
2008-09-29,258,5.0
2008-09-30,266,7.0
2008-10-01,246,7.0
2008-10-02,209,7.0
2008-10-03,157,6.0
2008-10-04,243,6.0
2008-10-05,155,6.0
2008-10-06,222,5.0
2008-10-07,206,6.0
2008-10-08,126,6.0
2008-10-09,138,7.0
2008-10-10,87,8.0
2008-10-11,134,8.0
2008-10-12,130,9.0
2008-10-13,134,9.0
2008-10-14,129,9.0
2008-10-15,142,8.0
2008-10-16,46,8.0
2008-10-17,91,7.0
2008-10-18,88,7.0
2008-10-19,103,7.0
2008-10-20,38,6.0
2008-10-21,123,7.0
2008-10-22,89,8.0
2008-10-23,156,6.0
2008-10-24,154,5.0
2008-10-25,127,9.0
2008-10-26,178,9.0
2008-10-27,197,8.0
2008-10-28,174,7.0
2008-10-29,157,8.0
2008-10-30,147,8.0
2008-10-31,163,9.0
2008-11-01,147,8.0
2008-11-02,136,8.0
2008-11-03,208,7.0
2008-11-04,184,7.0
2008-11-05,159,7.0
2008-11-06,153,9.0
2008-11-07,131,9.0
2008-11-08,140,8.0
2008-11-09,145,9.0
2008-11-10,139,9.0
2008-11-11,119,8.0
2008-11-12,177,8.0
2008-11-13,178,8.0
2008-11-14,219,11.0
2008-11-15,135,11.0
2008-11-16,32,10.0
2008-11-17,140,8.0
2008-11-18,159,8.0
2008-11-19,145,9.0
2008-11-20,140,9.0
2008-11-21,93,11.0
2008-11-22,68,10.0
2008-11-23,71,12.0
2008-11-24,166,10.0
2008-11-25,157,10.0
2008-11-26,123,11.0
2008-11-27,131,12.0
2008-11-28,76,14.0
2008-11-29,155,15.0
2008-11-30,141,9.0
2008-12-01,150,9.0
2008-12-02,137,7.0
2008-12-03,120,7.0
2008-12-04,153,9.0
2008-12-05,119,9.0
2008-12-06,103,9.0
2008-12-07,132,10.0
2008-12-08,102,8.0
2008-12-09,163,11.0
2008-12-10,140,10.0
2008-12-11,154,9.0
2008-12-12,146,10.0
2008-12-13,141,9.0
2008-12-14,107,12.0
2008-12-15,68,13.0
2008-12-16,158,12.0
2008-12-17,76,13.0
2008-12-18,80,16.0
2008-12-19,156,12.0
2008-12-20,136,11.0
2008-12-21,145,12.0
2008-12-22,149,11.0
2008-12-23,155,11.0
2008-12-24,145,11.0
2008-12-25,152,11.0
2008-12-26,176,10.0
2008-12-27,123,10.0
2008-12-28,136,12.0
2008-12-29,146,11.0
2008-12-30,149,11.0
2008-12-31,149,11.0
2009-01-01,144,10.0
2009-01-02,135,10.0
2009-01-03,138,12.0
2009-01-04,136,12.0
2009-01-05,185,11.0
2009-01-06,127,11.0
2009-01-07,144,10.0
2009-01-08,133,10.0
2009-01-09,140,12.0
2009-01-10,137,11.0
2009-01-11,147,11.0
2009-01-12,135,9.0
2009-01-13,110,14.0
2009-01-14,154,12.0
2009-01-15,138,13.0
2009-01-16,143,11.0
2009-01-17,149,12.0
2009-01-18,146,11.0
2009-01-19,183,11.0
2009-01-20,135,9.0
