,Unnamed: 0,date,direction,speed
0,0,2008-07-01,242,25.0
1,1,2008-07-02,228,26.0
2,2,2008-07-03,233,22.0
3,3,2008-07-04,237,22.0
4,4,2008-07-05,235,22.0
5,5,2008-07-06,241,26.0
6,6,2008-07-07,250,23.0
7,7,2008-07-08,245,23.0
8,8,2008-07-09,247,20.0
9,9,2008-07-10,249,21.0
10,10,2008-07-11,241,23.0
11,11,2008-07-12,229,23.0
12,12,2008-07-13,222,22.0
13,13,2008-07-14,218,19.0
14,14,2008-07-15,226,16.0
15,15,2008-07-16,228,14.0
16,16,2008-07-17,236,18.0
17,17,2008-07-18,241,16.0
18,18,2008-07-19,238,16.0
19,19,2008-07-20,212,13.0
20,20,2008-07-21,211,12.0
21,21,2008-07-22,209,14.0
22,22,2008-07-23,206,12.0
23,23,2008-07-24,214,13.0
24,24,2008-07-25,248,14.0
25,25,2008-07-26,249,16.0
26,26,2008-07-27,249,18.0
27,27,2008-07-28,258,17.0
28,28,2008-07-29,229,19.0
29,29,2008-07-30,235,23.0
30,30,2008-07-31,221,19.0
31,31,2008-08-01,223,20.0
32,32,2008-08-02,240,20.0
33,33,2008-08-03,242,18.0
34,34,2008-08-04,257,16.0
35,35,2008-08-05,253,17.0
36,36,2008-08-06,260,21.0
37,37,2008-08-07,256,21.0
38,38,2008-08-08,259,26.0
39,39,2008-08-09,263,30.0
40,40,2008-08-10,272,27.0
41,41,2008-08-11,270,33.0
42,42,2008-08-12,243,37.0
43,43,2008-08-13,264,28.0
44,44,2008-08-14,264,20.0
45,45,2008-08-15,241,14.0
46,46,2008-08-16,238,17.0
47,47,2008-08-17,259,14.0
48,48,2008-08-18,245,12.0
49,49,2008-08-19,245,14.0
50,50,2008-08-20,253,13.0
51,51,2008-08-21,254,13.0
52,52,2008-08-22,249,14.0
53,53,2008-08-23,247,10.0
54,54,2008-08-24,277,8.0
55,55,2008-08-25,261,9.0
56,56,2008-08-26,248,10.0
57,57,2008-08-27,226,10.0
58,58,2008-08-28,225,9.0
59,59,2008-08-29,230,7.0
60,60,2008-08-30,248,8.0
61,61,2008-08-31,286,9.0
62,62,2008-09-01,91,9.0
63,63,2008-09-02,304,8.0
64,64,2008-09-03,266,6.0
65,65,2008-09-04,231,6.0
66,66,2008-09-05,231,9.0
67,67,2008-09-06,252,10.0
68,68,2008-09-07,268,8.0
69,69,2008-09-08,292,6.0
70,70,2008-09-09,244,6.0
71,71,2008-09-10,146,6.0
72,72,2008-09-11,199,11.0
73,73,2008-09-12,147,10.0
74,74,2008-09-13,153,18.0
75,75,2008-09-14,201,26.0
76,76,2008-09-15,214,27.0
77,77,2008-09-16,257,23.0
78,78,2008-09-17,265,25.0
79,79,2008-09-18,259,24.0
80,80,2008-09-19,265,19.0
81,81,2008-09-20,236,16.0
82,82,2008-09-21,249,12.0
83,83,2008-09-22,243,9.0
84,84,2008-09-23,239,7.0
85,85,2008-09-24,278,6.0
86,86,2008-09-25,273,10.0
